AFFILIATION_ID|PROVIDER_ID|AFFILIATE_PROVIDER_ID|AFFILIATION_TYPE_CD|PREFERRED_AFFIL_FLAG|AFFILIATE_PAYABLE|PCP_FLAG|EFFECTIVE_DT|TERM_DT
BKC10452103^BKC000000007^20160101_000000.^BKC0NA|BKC10452103^BKC0NA|BKC000000007^BKC0NA||N|||2016-01-01|9999-12-31
BKC10489052^BKC000000002^20160101_000000.^BKC0NA|BKC10489052^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC10534031^BKC000000022^20161021_000000.^BKC0NA|BKC10534031^BKC0NA|BKC000000022^BKC0NA||N|||2016-10-21|9999-12-31
BKC10652036^BKC000000007^20160101_000000.^BKC0NA|BKC10652036^BKC0NA|BKC000000007^BKC0NA||N|||2016-01-01|9999-12-31
BKC10790105^BKC000000007^20160101_000000.^BKC0NA|BKC10790105^BKC0NA|BKC000000007^BKC0NA||N|||2016-01-01|9999-12-31
BKC10867027^BKC000000027^20161101_000000.^BKC0NA|BKC10867027^BKC0NA|BKC000000027^BKC0NA||N|||2016-11-01|9999-12-31
BKC11013112^BKC000000002^20160101_000000.^BKC0NA|BKC11013112^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC11072058^BKC000000002^20160101_000000.^BKC0NA|BKC11072058^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC11208129^BKC000000017^20160101_000000.^BKC0NA|BKC11208129^BKC0NA|BKC000000017^BKC0NA||N|||2016-01-01|9999-12-31
BKC11216050^BKC000000002^20160101_000000.^BKC0NA|BKC11216050^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC11217018^BKC000000004^20160101_000000.^BKC0NA|BKC11217018^BKC0NA|BKC000000004^BKC0NA||N|||2016-01-01|9999-12-31
BKC11456071^BKC000000019^20160701_000000.^BKC0NA|BKC11456071^BKC0NA|BKC000000019^BKC0NA||N|||2016-07-01|9999-12-31
BKC11485055^BKC000000025^20161231_000000.^BKC0NA|BKC11485055^BKC0NA|BKC000000025^BKC0NA||N|||2016-12-31|9999-12-31
BKC11549085^BKC000000012^20160101_000000.^BKC0NA|BKC11549085^BKC0NA|BKC000000012^BKC0NA||N|||2016-01-01|9999-12-31
BKC11549085^BKC000000012^20160101_000000.^EHI0NA|BKC11549085^EHI0NA|BKC000000012^EHI0NA||N|||2016-01-01|9999-12-31
BKC11577031^BKC000000002^20160101_000000.^BKC0NA|BKC11577031^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC12126066^BKC000000017^20160101_000000.^BKC0NA|BKC12126066^BKC0NA|BKC000000017^BKC0NA||N|||2016-01-01|9999-12-31
BKC12456027^BKC000000007^20160101_000000.^BKC0NA|BKC12456027^BKC0NA|BKC000000007^BKC0NA||N|||2016-01-01|9999-12-31
BKC12461033^BKC000000017^20160101_000000.^BKC0NA|BKC12461033^BKC0NA|BKC000000017^BKC0NA||N|||2016-01-01|9999-12-31
BKC12477040^BKC000000002^20160101_000000.^BKC0NA|BKC12477040^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC12488025^BKC000000019^20160701_000000.^BKC0NA|BKC12488025^BKC0NA|BKC000000019^BKC0NA||N|||2016-07-01|9999-12-31
BKC12635097^BKC000000023^20161201_000000.^BKC0NA|BKC12635097^BKC0NA|BKC000000023^BKC0NA||N|||2016-12-01|9999-12-31
BKC12641121^BKC000000017^20160101_000000.^BKC0NA|BKC12641121^BKC0NA|BKC000000017^BKC0NA||N|||2016-01-01|9999-12-31
BKC12737090^BKC000000003^20160101_000000.^BKC0NA|BKC12737090^BKC0NA|BKC000000003^BKC0NA||N|||2016-01-01|9999-12-31
BKC12767051^BKC000000006^20160101_000000.^BKC0NA|BKC12767051^BKC0NA|BKC000000006^BKC0NA||N|||2016-01-01|9999-12-31
BKC12775112^BKC000000005^20160101_000000.^BKC0NA|BKC12775112^BKC0NA|BKC000000005^BKC0NA||N|||2016-01-01|9999-12-31
BKC13117072^BKC000000002^20160101_000000.^BKC0NA|BKC13117072^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC13193048^BKC000000004^20160101_000000.^BKC0NA|BKC13193048^BKC0NA|BKC000000004^BKC0NA||N|||2016-01-01|9999-12-31
BKC13234019^BKC000000005^20160101_000000.^BKC0NA|BKC13234019^BKC0NA|BKC000000005^BKC0NA||N|||2016-01-01|9999-12-31
BKC13238081^BKC000000004^20160601_000000.^BKC0NA|BKC13238081^BKC0NA|BKC000000004^BKC0NA||N|||2016-06-01|9999-12-31
