PRVGRP_AFFILIATION_ID|PROVIDER_ID|AFFILIATE_PROVIDER_ID|AFFILIATION_TYPE_CD|AFFILIATE_PAYABLE|PCP_FLAG|EFFECTIVE_DT|TERM_DT
BKC12126066^BKC55218016^20160101_000000.^BKC0NA|BKC12126066^BKC0NA|BKC55218016^BKC0NA||||2016-01-01|9999-12-31
BKC12456027^BKC30792011^20060701_000000.^BKC0NA|BKC12456027^BKC0NA|BKC30792011^BKC0NA||||2006-07-01|9999-12-31
BKC12461033^BKC55218016^20160101_000000.^BKC0NA|BKC12461033^BKC0NA|BKC55218016^BKC0NA||||2016-01-01|9999-12-31
BKC12477040^BKC43594015^20171101_000000.^BKC0NA|BKC12477040^BKC0NA|BKC43594015^BKC0NA||||2017-11-01|9999-12-31
BKC12488025^BKC34981011^20080714_000000.^BKC0NA|BKC12488025^BKC0NA|BKC34981011^BKC0NA||||2008-07-14|9999-12-31
BKC12635097^BKC24999018^19970101_000000.^BKC0NA|BKC12635097^BKC0NA|BKC24999018^BKC0NA||||1997-01-01|9999-12-31
BKC12641121^BKC55218016^20160101_000000.^BKC0NA|BKC12641121^BKC0NA|BKC55218016^BKC0NA||||2016-01-01|9999-12-31
BKC12737090^BKC25562019^20130114_000000.^BKC0NA|BKC12737090^BKC0NA|BKC25562019^BKC0NA||||2013-01-14|9999-12-31
BKC12767051^BKC21601011^19970101_000000.^BKC0NA|BKC12767051^BKC0NA|BKC21601011^BKC0NA||||1997-01-01|9999-12-31
BKC12775112^BKC10715038^20030714_000000.^BKC0NA|BKC12775112^BKC0NA|BKC10715038^BKC0NA||||2003-07-14|9999-12-31
BKC13117072^BKC47984015^20130101_000000.^BKC0NA|BKC13117072^BKC0NA|BKC47984015^BKC0NA||||2013-01-01|9999-12-31
BKC13193048^BKC01189024^20110701_000000.^BKC0NA|BKC13193048^BKC0NA|BKC01189024^BKC0NA||||2011-07-01|9999-12-31
BKC13234019^BKC01167013^19970101_000000.^BKC0NA|BKC13234019^BKC0NA|BKC01167013^BKC0NA||||1997-01-01|9999-12-31
BKC13238081^BKC52155018^20160101_000000.^BKC0NA|BKC13238081^BKC0NA|BKC52155018^BKC0NA||||2016-01-01|9999-12-31
BKC13283097^BKC00096025^20090801_000000.^BKC0NA|BKC13283097^BKC0NA|BKC00096025^BKC0NA||||2009-08-01|9999-12-31
BKC13319051^BKC00080029^19960401_000000.^BKC0NA|BKC13319051^BKC0NA|BKC00080029^BKC0NA||||1996-04-01|9999-12-31
BKC13348045^BKC24587019^20020101_000000.^BKC0NA|BKC13348045^BKC0NA|BKC24587019^BKC0NA||||2002-01-01|9999-12-31
BKC13423056^BKC47984015^20130101_000000.^BKC0NA|BKC13423056^BKC0NA|BKC47984015^BKC0NA||||2013-01-01|9999-12-31
BKC13423076^BKC47984025^20150701_000000.^BKC0NA|BKC13423076^BKC0NA|BKC47984025^BKC0NA||||2015-07-01|9999-12-31
BKC13468036^BKC55218016^20170301_000000.^BKC0NA|BKC13468036^BKC0NA|BKC55218016^BKC0NA||||2017-03-01|9999-12-31
BKC13472054^BKC24587019^19970101_000000.^BKC0NA|BKC13472054^BKC0NA|BKC24587019^BKC0NA||||1997-01-01|9999-12-31
BKC13496191^BKC24595010^20160101_000000.^BKC0NA|BKC13496191^BKC0NA|BKC24595010^BKC0NA||||2016-01-01|9999-12-31
BKC13547050^BKC25562019^20151223_000000.^BKC0NA|BKC13547050^BKC0NA|BKC25562019^BKC0NA||||2015-12-23|9999-12-31
BKC13681016^BKC00096025^20030401_000000.^BKC0NA|BKC13681016^BKC0NA|BKC00096025^BKC0NA||||2003-04-01|9999-12-31
BKC13829061^BKC37765031^20130401_000000.^BKC0NA|BKC13829061^BKC0NA|BKC37765031^BKC0NA||||2013-04-01|9999-12-31
BKC13874046^BKC44510011^20101101_000000.^BKC0NA|BKC13874046^BKC0NA|BKC44510011^BKC0NA||||2010-11-01|9999-12-31
BKC13891076^BKC55218016^20160101_000000.^BKC0NA|BKC13891076^BKC0NA|BKC55218016^BKC0NA||||2016-01-01|9999-12-31
BKC13913031^BKC44510011^20101101_000000.^BKC0NA|BKC13913031^BKC0NA|BKC44510011^BKC0NA||||2010-11-01|9999-12-31
BKC13927051^BKC38419014^20070801_000000.^BKC0NA|BKC13927051^BKC0NA|BKC38419014^BKC0NA||||2007-08-01|9999-12-31
BKC13933035^BKC34299018^20050701_000000.^BKC0NA|BKC13933035^BKC0NA|BKC34299018^BKC0NA||||2005-07-01|9999-12-31
BKC13958031^BKC04415036^20020701_000000.^BKC0NA|BKC13958031^BKC0NA|BKC04415036^BKC0NA||||2002-07-01|9999-12-31
BKC14025022^BKC20051024^19970101_000000.^BKC0NA|BKC14025022^BKC0NA|BKC20051024^BKC0NA||||1997-01-01|9999-12-31
BKC14143067^BKC24587019^19980101_000000.^BKC0NA|BKC14143067^BKC0NA|BKC24587019^BKC0NA||||1998-01-01|9999-12-31
BKC14172021^BKC19929020^19970101_000000.^BKC0NA|BKC14172021^BKC0NA|BKC19929020^BKC0NA||||1997-01-01|9999-12-31
BKC14244011^BKC20051024^20000808_000000.^BKC0NA|BKC14244011^BKC0NA|BKC20051024^BKC0NA||||2000-08-08|9999-12-31
