PROVIDER_ID|SPECIALTY_CD|EFFECTIVE_DT|TERM_DT
1376549139AB^EHI0NA|01|1998-07-10|
1376557264AB^EHI0NA|GMED|1900-01-01|
1376575126AB^EHI0NA|01|2005-08-06|
1386640399AF^EHI0NA|01|1998-07-10|
1386645430AD^EHI0NA|01|1998-01-01|
1396157699AA^EHI0NA|01|2015-07-01|
1396855391AA^EHI0NA|INTMED|2000-08-22|
1407169881AA^EHI0NA|01|2013-01-01|
1407876550AA^EHI0NA|INTMED|1986-09-10|
1417050204AA^EHI0NA|01|1982-01-01|
1417057779AB^EHI0NA|01|2007-07-28|
1417183484AC^EHI0NA|01|2013-01-01|
1417396599AA^EHI0NA|INTMED|2016-01-01|
1417920927AA^EHI0NA|INTMED|1975-06-18|
1417937574AA^EHI0NA|INTMED|1900-01-01|
1417981333AA^EHI0NA|INTMED|1995-08-23|
1427042381AA^EHI0NA|01|2001-07-13|
1427151323AB^EHI0NA|01|1900-01-01|
1427152669AA^EHI0NA|INTMED|1984-09-12|
1427161298AB^EHI0NA|INTMED|1993-09-22|
1427212083AB^EHI0NA|01|2013-01-01|
1427212083AC^EHI0NA|01|2013-01-01|
1437240520AA^EHI0NA|GMED|1988-01-01|
1437268596AA^EHI0NA|INTMED|2003-08-19|
1447267810AA^EHI0NA|INTMED|1984-09-12|
1447347729AB^EHI0NA|01|1989-01-01|
1447359492AA^EHI0NA|01|1996-07-12|
1447361100AB^EHI0NA|01|1980-07-09|
1447411145AB^EHI0NA|01|2011-01-01|
1467465005AC^EHI0NA|01|2001-07-13|
1477547453AA^EHI0NA|INTMED|1981-09-16|
1477650265AA^EHI0NA|INTMED|1975-01-01|
1477767101AA^EHI0NA|INTMED|2007-08-24|
1477878098AA^EHI0NA|INTMED|1900-01-01|
1487090247AA^EHI0NA|01|2016-07-01|
1487649067AB^EHI0NA|01|1996-07-02|
1487680377AA^EHI0NA|INTMED|2005-08-23|
1487767240AA^EHI0NA|INTMED|1986-09-10|
1497763783AB^EHI0NA|01|2004-07-09|
1508205543AA^EHI0NA|01|1900-01-01|
1508842352AB^EHI0NA|01|1983-07-08|
1508858713AB^EHI0NA|01|1999-07-09|
1508886060AA^EHI0NA|INTMED|2011-01-01|
1508976523AA^EHI0NA|01|1996-07-12|
1518020353AA^EHI0NA|01|2010-12-01|
1518077049AA^EHI0NA|INTMED|2003-03-31|
1518924646AA^EHI0NA|INTMED|1997-08-20|
1528007416AF^EHI0NA|GMED|1900-01-01|
1528071263AA^EHI0NA|01|2004-01-31|
1528292299AC^EHI0NA|INTMED|2013-08-06|
1528407491AA^EHI0NA|01|1900-01-01|
1538159421AA^EHI0NA|01|1900-01-01|
1538169495AC^EHI0NA|INTMED|1992-09-16|
1548216179AB^EHI0NA|INTMED|1997-08-01|
1548224686AA^EHI0NA|INTMED|2015-02-11|
1548362841AA^EHI0NA|01|2008-07-25|
1558308361AD^EHI0NA|INTMED|1995-08-23|
1558378216AA^EHI0NA|INTMED|2001-08-21|
1558378927AA^EHI0NA|INTMED|1982-09-15|
1558391938AB^EHI0NA|INTMED|1984-09-12|
1558451435AB^EHI0NA|01|2002-01-01|
1568402501AA^EHI0NA|01|2002-07-12|
1568402683AA^EHI0NA|INTMED|2006-09-06|
1568448850AA^EHI0NA|GMED|1900-01-01|
1568479939AB^EHI0NA|INTMED|1982-09-15|
1568568897AC^EHI0NA|INTMED|1900-01-01|
1578507067AA^EHI0NA|INTMED|1955-01-01|
1578509337AA^EHI0NA|01|1995-01-01|
1578672614AA^EHI0NA|INTMED|1993-09-22|
1578682324AD^EHI0NA|01|1999-01-01|
1588079727AA^EHI0NA|01|1900-01-01|
1588079727AB^EHI0NA|01|1900-01-01|
1588625693AB^EHI0NA|01|2003-07-11|
1588677991AA^EHI0NA|01|2000-01-01|
1588740369AA^EHI0NA|01|1985-07-12|
1588874366AA^EHI0NA|INTMED|2009-08-27|
1598737819AB^EHI0NA|01|1986-07-11|
1598841025AC^EHI0NA|01|1900-01-01|
1598862567AA^EHI0NA|GMED|1998-01-01|
1598863896AA^EHI0NA|01|1900-01-01|
1598878373AA^EHI0NA|01|2001-07-13|
1609874734AA^EHI0NA|01|2012-11-10|
1619100989AA^EHI0NA|INTMED|2012-09-13|
1619963253AA^EHI0NA|01|1992-04-27|
1629077607AA^EHI0NA|INTMED|1980-09-09|
1629093661AA^EHI0NA|01|1991-02-01|
1629118088AA^EHI0NA|01|1989-07-14|
1629178108AA^EHI0NA|01|1993-01-01|
1639113103AA^EHI0NA|INTMED|1997-01-01|
1639151244AB^EHI0NA|INTMED|1988-09-15|
1639186398AA^EHI0NA|INTMED|2009-05-01|
1639482912AA^EHI0NA|01|2013-02-01|
1649214594AA^EHI0NA|01|2007-01-01|
1649261835AA^EHI0NA|INTMED|1987-09-16|
1649281668AA^EHI0NA|01|2004-12-04|
1649373440AB^EHI0NA|01|2009-07-24|
1649434200AB^EHI0NA|01|2011-01-01|
1649492927AA^EHI0NA|INTMED|2010-01-01|
1659480689AA^EHI0NA|INTMED|1992-09-16|
1659481299AB^EHI0NA|01|1900-01-01|
1669430070AA^EHI0NA|INTMED|1998-08-26|
1669466066AA^EHI0NA|01|1900-01-01|
1669735791AA^EHI0NA|01|2015-08-03|
1669737706AA^EHI0NA|INTMED|1900-01-01|
1679510358AB^EHI0NA|01|2010-01-01|
1679510358AC^EHI0NA|01|2010-01-01|
1679551378AB^EHI0NA|INTMED|2008-08-15|
1679756381AA^EHI0NA|01|2010-01-01|
1689617755AA^EHI0NA|01|1997-01-01|
1689651168AA^EHI0NA|01|2001-07-31|
1689655060AA^EHI0NA|01|2001-07-13|
1699083733AA^EHI0NA|INTMED|1995-08-23|
1699708016AA^EHI0NA|INTMED|1994-08-24|
1699748103AA^EHI0NA|01|1988-07-31|
1699772251AD^EHI0NA|01|2003-07-11|
1699869461AA^EHI0NA|01|1990-07-13|
1699886309AA^EHI0NA|GMED|1994-04-12|
1700045788AA^EHI0NA|INTMED|2011-08-10|
1700829819AA^EHI0NA|INTMED|2000-01-01|
1700997731AA^EHI0NA|01|1997-12-01|
1710276316AB^EHI0NA|INTMED|2014-08-13|
1710968201AA^EHI0NA|01|2003-07-11|
1710994181AA^EHI0NA|INTMED|1988-09-15|
1720025307AA^EHI0NA|01|1985-07-12|
1720036981AA^EHI0NA|INTMED|1985-09-11|
1730132895AA^EHI0NA|01|2000-07-14|
1740254374AB^EHI0NA|INTMED|1900-01-01|
1740281088AA^EHI0NA|01|1900-01-01|
1740391259AA^EHI0NA|INTMED|1976-06-16|
1750375812AA^EHI0NA|INTMED|2004-06-01|
1750589263AA^EHI0NA|01|2010-07-12|
1760442198AA^EHI0NA|01|1990-07-13|
1760522916AA^EHI0NA|INTMED|1999-08-24|
1760591705AA^EHI0NA|INTMED|1996-08-21|
1770533184AB^EHI0NA|01|1997-07-11|
1770577736AA^EHI0NA|INTMED|1993-01-01|
1770596983AA^EHI0NA|01|2006-07-28|
1780670844AB^EHI0NA|INTMED|1998-08-26|
1780687640AB^EHI0NA|INTMED|1998-08-26|
1780784298AB^EHI0NA|01|1995-01-01|
1780784306AA^EHI0NA|01|2001-01-01|
1801849252AA^EHI0NA|01|1992-07-10|
1801895032AA^EHI0NA|INTMED|1985-09-11|
1801985833AA^EHI0NA|INTMED|2001-08-21|
1811336795AB^EHI0NA|01|1900-01-01|
1811336795AC^EHI0NA|01|1900-01-01|
1811919228AA^EHI0NA|INTMED|1971-01-01|
1811930092AA^EHI0NA|INTMED|1900-01-01|
1811930738AA^EHI0NA|01|2003-01-01|
1811980857AA^EHI0NA|01|1995-01-01|
1811981715AC^EHI0NA|INTMED|1982-09-15|
1811996028AC^EHI0NA|INTMED|1984-01-01|
1821065764AA^EHI0NA|INTMED|1900-01-01|
1821083866AE^EHI0NA|INTMED|2002-08-20|
1821096652AB^EHI0NA|01|1995-01-01|
1821283193AB^EHI0NA|01|2009-07-24|
1831132240AA^EHI0NA|INTMED|2005-01-01|
1831486661AA^EHI0NA|01|1900-01-01|
1841278850AA^EHI0NA|INTMED|1900-01-01|
1851339303AA^EHI0NA|INTMED|1991-01-01|
1851385009AB^EHI0NA|INTMED|1994-12-31|
1851395578AE^EHI0NA|01|1900-01-01|
1851555411AA^EHI0NA|01|2011-01-01|
1861433195AA^EHI0NA|INTMED|1999-08-24|
1861486953AA^EHI0NA|INTMED|1985-09-01|
1861528432AA^EHI0NA|01|2007-01-01|
1861581084AA^EHI0NA|01|2012-01-31|
1861658874AA^EHI0NA|INTMED|2008-08-28|
1871510396AA^EHI0NA|INTMED|1996-08-21|
1871604520AA^EHI0NA|INTMED|2002-08-20|
1871684969AA^EHI0NA|01|1994-01-01|
1871755777AA^EHI0NA|INTMED|2011-08-15|
1871792796AA^EHI0NA|01|2010-07-20|
1881033710AA^EHI0NA|01|1900-01-01|
1881720407AA^EHI0NA|01|2007-06-30|
1881822617AA^EHI0NA|01|2014-11-15|
1891134094AA^EHI0NA|INTMED|1900-01-01|
1891769253AA^EHI0NA|01|2009-07-08|
1891769253AB^EHI0NA|01|2009-07-08|
1891781951AA^EHI0NA|INTMED|1997-08-20|
1891787040AB^EHI0NA|01|2003-12-05|
1891789558AA^EHI0NA|01|2007-07-21|
1902119290AA^EHI0NA|01|2013-02-01|
1902198781AA^EHI0NA|01|2014-07-01|
1902849557AA^EHI0NA|INTMED|1996-01-01|
1902849854AA^EHI0NA|INTMED|1999-01-01|
1902915853AA^EHI0NA|INTMED|1996-08-01|
1902916927AA^EHI0NA|01|1986-07-11|
1912260746AA^EHI0NA|INTMED|2015-08-11|
